Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
5.599999905,-48.21777344,-49.74365234,-45.47119141,-43.02978516,-46.38671875
5.699999809,-46.99707031,-48.828125,-46.08154297,-43.9453125,-44.86083984
5.800000191,-48.828125,-48.52294922,-45.77636719,-43.33496094,-45.16601563
5.900000095,-46.38671875,-49.13330078,-45.16601563,-43.33496094,-45.47119141
6,-47.60742188,-49.43847656,-46.08154297,-41.80908203,-44.55566406
6.099999905,-48.52294922,-47.60742188,-45.77636719,-42.72460938,-45.16601563
6.199999809,-46.99707031,-49.74365234,-44.25048828,-44.55566406,-45.77636719
6.300000191,-47.30224609,-47.91259766,-45.47119141,-43.02978516,-46.38671875
6.400000095,-46.69189453,-49.74365234,-44.55566406,-43.02978516,-44.25048828
6.5,-46.99707031,-48.21777344,-44.86083984,-42.72460938,-45.47119141
6.599999905,-46.38671875,-48.21777344,-43.9453125,-42.41943359,-46.08154297
6.699999809,-47.91259766,-47.60742188,-44.55566406,-42.41943359,-44.25048828
6.800000191,-48.52294922,-47.30224609,-46.08154297,-42.11425781,-45.77636719
6.900000095,-47.60742188,-48.21777344,-45.47119141,-43.33496094,-45.77636719
7,-47.30224609,-47.60742188,-44.55566406,-42.11425781,-44.86083984
7.099999905,-47.30224609,-48.21777344,-44.25048828,-43.33496094,-44.55566406
7.199999809,-46.38671875,-47.91259766,-44.55566406,-41.80908203,-45.77636719
7.300000191,-46.38671875,-46.99707031,-44.86083984,-42.41943359,-45.16601563
7.400000095,-48.21777344,-47.91259766,-44.86083984,-43.02978516,-44.55566406
7.5,-47.91259766,-47.60742188,-45.77636719,-43.02978516,-46.38671875
7.599999905,-45.77636719,-49.43847656,-43.9453125,-42.72460938,-44.55566406
7.699999809,-47.60742188,-47.91259766,-44.55566406,-42.11425781,-46.38671875
7.800000191,-46.69189453,-47.60742188,-44.86083984,-43.64013672,-45.16601563
7.900000095,-46.38671875,-46.38671875,-45.47119141,-41.50390625,-45.16601563
8,-46.08154297,-46.99707031,-43.9453125,-42.72460938,-45.16601563
8.100000381,-46.69189453,-47.60742188,-44.25048828,-43.02978516,-44.25048828
8.199999809,-47.30224609,-48.21777344,-46.38671875,-41.50390625,-46.69189453
8.300000191,-46.38671875,-47.91259766,-44.86083984,-43.02978516,-44.25048828
8.399999619,-47.30224609,-46.38671875,-44.55566406,-43.33496094,-45.47119141
8.5,-46.69189453,-46.99707031,-43.9453125,-42.11425781,-43.9453125
8.600000381,-48.21777344,-46.08154297,-45.47119141,-41.80908203,-45.47119141
8.699999809,-47.30224609,-46.99707031,-43.9453125,-42.41943359,-44.86083984
8.800000191,-47.30224609,-48.21777344,-43.33496094,-42.11425781,-44.86083984
8.899999619,-47.60742188,-47.30224609,-45.16601563,-41.80908203,-46.69189453
9,-46.08154297,-46.38671875,-44.86083984,-43.64013672,-44.55566406
9.100000381,-47.30224609,-47.60742188,-44.86083984,-41.19873047,-45.47119141
9.199999809,-46.08154297,-47.60742188,-43.33496094,-42.72460938,-44.55566406
9.300000191,-46.99707031,-46.69189453,-45.16601563,-41.50390625,-45.47119141
9.399999619,-46.99707031,-47.30224609,-43.64013672,-41.50390625,-43.9453125
9.5,-46.69189453,-48.828125,-43.02978516,-43.64013672,-45.16601563
9.600000381,-46.99707031,-46.99707031,-45.16601563,-41.80908203,-46.38671875
9.699999809,-46.38671875,-46.99707031,-43.9453125,-42.72460938,-45.16601563
9.800000191,-47.30224609,-46.69189453,-43.64013672,-41.80908203,-44.55566406
9.899999619,-47.30224609,-47.30224609,-44.25048828,-43.02978516,-45.47119141
10,-46.38671875,-46.38671875,-43.33496094,-41.80908203,-44.25048828
10.10000038,-46.69189453,-46.38671875,-43.02978516,-42.11425781,-44.25048828
10.19999981,-46.99707031,-48.52294922,-43.64013672,-43.02978516,-43.9453125
10.30000019,-47.60742188,-46.38671875,-44.86083984,-40.58837891,-45.16601563
10.39999962,-46.99707031,-46.99707031,-44.25048828,-42.72460938,-43.33496094
10.5,-46.38671875,-46.99707031,-43.9453125,-41.50390625,-45.77636719
10.60000038,-46.38671875,-46.99707031,-44.55566406,-42.11425781,-43.33496094
10.69999981,-47.30224609,-45.47119141,-44.25048828,-40.58837891,-44.55566406
10.80000019,-47.60742188,-46.38671875,-43.64013672,-42.11425781,-44.86083984
10.89999962,-45.77636719,-48.21777344,-45.16601563,-42.11425781,-43.9453125
11,-46.99707031,-46.08154297,-43.9453125,-41.19873047,-44.86083984
11.10000038,-47.30224609,-46.99707031,-44.86083984,-42.11425781,-43.64013672
11.19999981,-46.38671875,-45.77636719,-44.25048828,-40.89355469,-45.47119141
11.30000019,-46.69189453,-46.69189453,-43.64013672,-41.50390625,-44.25048828
11.39999962,-47.30224609,-46.08154297,-44.25048828,-40.28320313,-44.86083984
11.5,-46.99707031,-46.38671875,-44.55566406,-41.80908203,-44.86083984
11.60000038,-46.38671875,-47.60742188,-43.9453125,-41.50390625,-44.55566406
11.69999981,-48.21777344,-45.77636719,-44.55566406,-41.50390625,-45.77636719
11.80000019,-46.08154297,-46.38671875,-44.55566406,-41.19873047,-44.25048828
11.89999962,-46.08154297,-46.69189453,-43.9453125,-40.58837891,-44.25048828
12,-47.91259766,-46.69189453,-44.55566406,-40.89355469,-43.9453125
12.10000038,-46.08154297,-45.77636719,-43.33496094,-40.28320313,-43.64013672
12.19999981,-47.30224609,-45.77636719,-45.16601563,-41.19873047,-43.02978516
12.30000019,-47.30224609,-46.38671875,-44.25048828,-41.50390625,-43.33496094
12.39999962,-46.99707031,-46.08154297,-45.16601563,-41.19873047,-44.55566406
12.5,-46.38671875,-46.08154297,-44.25048828,-41.80908203,-42.72460938
12.60000038,-47.60742188,-46.99707031,-44.86083984,-41.50390625,-43.9453125
12.69999981,-45.47119141,-46.38671875,-44.86083984,-41.80908203,-43.9453125
12.80000019,-46.99707031,-46.38671875,-44.25048828,-40.58837891,-43.02978516
12.89999962,-47.60742188,-45.77636719,-45.77636719,-40.28320313,-43.64013672
13,-46.08154297,-47.30224609,-43.9453125,-41.50390625,-43.64013672
13.10000038,-46.69189453,-45.77636719,-45.47119141,-40.89355469,-43.64013672
13.19999981,-46.38671875,-46.99707031,-43.64013672,-41.19873047,-43.33496094
13.30000019,-46.69189453,-46.08154297,-43.9453125,-40.28320313,-42.72460938
13.39999962,-45.77636719,-46.38671875,-43.33496094,-40.89355469,-42.41943359
13.5,-47.91259766,-46.08154297,-45.16601563,-39.97802734,-43.64013672
13.60000038,-46.99707031,-47.30224609,-45.77636719,-40.89355469,-44.55566406
13.69999981,-46.08154297,-46.08154297,-43.64013672,-40.58837891,-43.9453125
13.80000019,-46.38671875,-45.47119141,-44.25048828,-41.19873047,-42.72460938
13.89999962,-46.08154297,-45.47119141,-43.33496094,-41.50390625,-42.11425781
14,-46.38671875,-45.16601563,-43.33496094,-39.97802734,-43.9453125
14.10000038,-45.47119141,-46.08154297,-43.33496094,-39.97802734,-42.72460938
14.19999981,-46.38671875,-45.77636719,-43.64013672,-39.36767578,-42.41943359
14.30000019,-46.38671875,-46.08154297,-43.9453125,-41.19873047,-43.64013672
14.39999962,-47.30224609,-46.99707031,-43.33496094,-41.50390625,-44.25048828
14.5,-46.08154297,-44.86083984,-45.47119141,-40.28320313,-43.64013672
14.60000038,-46.69189453,-45.77636719,-44.25048828,-40.89355469,-41.80908203
14.69999981,-46.38671875,-45.77636719,-43.64013672,-39.97802734,-43.33496094
14.80000019,-45.77636719,-45.77636719,-43.64013672,-40.89355469,-42.11425781
14.89999962,-46.38671875,-46.38671875,-43.64013672,-40.89355469,-42.11425781
15,-47.30224609,-46.38671875,-44.86083984,-40.58837891,-43.9453125
15.10000038,-46.38671875,-46.38671875,-43.02978516,-40.28320313,-43.02978516
15.19999981,-45.77636719,-46.38671875,-43.64013672,-40.28320313,-42.72460938
15.30000019,-46.69189453,-46.08154297,-43.33496094,-40.28320313,-41.19873047
15.39999962,-45.47119141,-45.77636719,-44.25048828,-39.0625,-43.33496094
15.5,-45.47119141,-45.47119141,-42.72460938,-40.28320313,-41.50390625
15.60000038,-46.69189453,-46.69189453,-43.64013672,-41.80908203,-42.11425781
15.69999981,-46.38671875,-45.16601563,-44.55566406,-39.97802734,-43.9453125
15.80000019,-46.38671875,-46.38671875,-42.41943359,-41.19873047,-41.19873047
15.89999962,-46.38671875,-46.08154297,-43.9453125,-40.58837891,-43.9453125
16,-46.38671875,-45.47119141,-43.64013672,-40.89355469,-42.11425781
16.10000038,-46.38671875,-45.77636719,-43.64013672,-39.67285156,-40.89355469
16.20000076,-45.77636719,-46.38671875,-42.41943359,-40.89355469,-41.80908203
16.29999924,-44.86083984,-46.99707031,-43.02978516,-40.28320313,-41.80908203
16.39999962,-45.47119141,-45.16601563,-45.16601563,-39.67285156,-42.41943359
16.5,-45.47119141,-45.47119141,-42.41943359,-40.28320313,-41.50390625
16.60000038,-46.08154297,-44.86083984,-43.02978516,-39.97802734,-42.11425781
16.70000076,-45.47119141,-46.08154297,-42.41943359,-40.28320313,-42.41943359
16.79999924,-45.16601563,-45.77636719,-43.9453125,-38.75732422,-41.19873047
16.89999962,-45.47119141,-43.9453125,-43.02978516,-39.97802734,-41.50390625
17,-45.16601563,-46.69189453,-42.72460938,-40.58837891,-41.19873047
17.10000038,-46.38671875,-45.16601563,-44.25048828,-39.67285156,-43.02978516
17.20000076,-45.16601563,-45.77636719,-43.64013672,-39.67285156,-41.50390625
17.29999924,-46.38671875,-45.16601563,-43.02978516,-38.75732422,-41.80908203
17.39999962,-46.08154297,-46.99707031,-42.41943359,-39.97802734,-40.58837891
17.5,-46.08154297,-44.86083984,-43.64013672,-37.53662109,-41.80908203
17.60000038,-45.16601563,-45.47119141,-42.11425781,-39.36767578,-41.19873047
17.70000076,-45.47119141,-46.69189453,-42.72460938,-39.67285156,-41.80908203
17.79999924,-45.77636719,-44.86083984,-43.9453125,-38.45214844,-41.80908203
17.89999962,-45.16601563,-45.47119141,-42.11425781,-39.36767578,-40.89355469
18,-45.47119141,-45.77636719,-42.11425781,-37.84179688,-41.19873047
18.10000038,-44.55566406,-44.86083984,-42.72460938,-39.67285156,-41.19873047
18.20000076,-44.55566406,-44.25048828,-41.80908203,-38.45214844,-40.89355469
18.29999924,-46.69189453,-45.47119141,-43.02978516,-38.75732422,-41.19873047
18.39999962,-45.47119141,-46.38671875,-43.33496094,-38.45214844,-40.58837891
18.5,-45.77636719,-45.16601563,-42.41943359,-38.14697266,-42.72460938
18.60000038,-44.86083984,-45.77636719,-42.41943359,-39.0625,-41.19873047
18.70000076,-46.08154297,-45.47119141,-42.72460938,-37.84179688,-41.80908203
18.79999924,-45.16601563,-44.55566406,-42.11425781,-38.75732422,-40.28320313
18.89999962,-45.47119141,-44.25048828,-42.41943359,-37.84179688,-42.41943359
19,-44.86083984,-45.16601563,-42.41943359,-38.45214844,-40.28320313
19.10000038,-44.86083984,-45.16601563,-42.11425781,-38.45214844,-40.58837891
19.20000076,-45.77636719,-45.16601563,-41.80908203,-37.84179688,-41.80908203
19.29999924,-44.55566406,-45.77636719,-41.19873047,-38.45214844,-41.50390625
19.39999962,-44.55566406,-44.55566406,-42.11425781,-37.53662109,-40.58837891
19.5,-44.86083984,-45.47119141,-41.50390625,-37.84179688,-39.97802734
19.60000038,-43.9453125,-44.25048828,-42.41943359,-36.92626953,-41.19873047
19.70000076,-45.16601563,-44.25048828,-42.11425781,-37.53662109,-40.58837891
19.79999924,-44.86083984,-46.99707031,-41.80908203,-38.45214844,-40.58837891
19.89999962,-45.16601563,-43.02978516,-42.41943359,-38.45214844,-41.50390625
20,-43.9453125,-45.16601563,-41.80908203,-37.84179688,-40.58837891
20.10000038,-45.16601563,-44.55566406,-41.19873047,-38.14697266,-41.19873047
20.20000076,-44.86083984,-44.55566406,-40.89355469,-36.92626953,-40.28320313
20.29999924,-43.64013672,-44.25048828,-40.58837891,-36.92626953,-40.89355469
20.39999962,-46.08154297,-44.25048828,-42.11425781,-37.53662109,-40.58837891
20.5,-43.9453125,-46.69189453,-40.89355469,-38.45214844,-39.97802734
20.60000038,-44.25048828,-43.9453125,-41.80908203,-36.31591797,-41.50390625
20.70000076,-44.55566406,-45.16601563,-39.97802734,-36.92626953,-40.28320313
20.79999924,-43.33496094,-43.33496094,-41.50390625,-37.23144531,-41.80908203
20.89999962,-43.33496094,-43.9453125,-39.97802734,-37.84179688,-39.97802734
21,-44.86083984,-43.9453125,-41.19873047,-37.53662109,-40.28320313
21.10000038,-44.55566406,-42.72460938,-41.80908203,-37.23144531,-40.89355469
21.20000076,-43.64013672,-45.47119141,-40.28320313,-38.14697266,-41.19873047
21.29999924,-44.55566406,-43.33496094,-40.89355469,-37.84179688,-40.89355469
21.39999962,-43.02978516,-44.55566406,-40.89355469,-38.45214844,-39.36767578
21.5,-44.25048828,-43.02978516,-40.89355469,-36.92626953,-39.97802734
21.60000038,-42.72460938,-44.55566406,-40.89355469,-37.23144531,-39.97802734
21.70000076,-43.64013672,-43.64013672,-40.89355469,-35.40039063,-40.58837891
21.79999924,-43.64013672,-43.33496094,-41.80908203,-36.62109375,-41.19873047
21.89999962,-43.02978516,-44.86083984,-40.28320313,-37.53662109,-39.97802734
22,-43.9453125,-43.33496094,-41.50390625,-37.23144531,-40.58837891
22.10000038,-42.72460938,-44.55566406,-40.89355469,-36.31591797,-39.67285156
22.20000076,-43.02978516,-42.72460938,-41.50390625,-36.31591797,-39.97802734
22.29999924,-41.80908203,-44.55566406,-40.28320313,-36.92626953,-39.36767578
22.39999962,-42.72460938,-43.64013672,-42.11425781,-36.31591797,-38.45214844
22.5,-43.64013672,-44.25048828,-42.72460938,-35.70556641,-40.28320313
22.60000038,-42.41943359,-44.25048828,-41.19873047,-36.01074219,-40.28320313
22.70000076,-43.02978516,-43.02978516,-42.11425781,-35.70556641,-39.67285156
22.79999924,-42.72460938,-44.86083984,-41.19873047,-36.01074219,-39.0625
22.89999962,-42.72460938,-43.64013672,-40.89355469,-35.09521484,-40.58837891
23,-42.41943359,-42.72460938,-39.97802734,-34.48486328,-39.36767578
23.10000038,-42.11425781,-44.25048828,-39.67285156,-34.48486328,-37.84179688
23.20000076,-43.02978516,-43.64013672,-42.11425781,-36.01074219,-39.97802734
23.29999924,-42.41943359,-44.55566406,-40.58837891,-35.09521484,-39.0625
23.39999962,-42.41943359,-43.64013672,-40.89355469,-33.56933594,-38.45214844
23.5,-43.33496094,-44.25048828,-41.50390625,-33.87451172,-38.45214844
23.60000038,-42.11425781,-43.64013672,-42.11425781,-34.1796875,-39.0625
23.70000076,-43.64013672,-44.55566406,-40.28320313,-33.87451172,-37.84179688
23.79999924,-41.80908203,-45.16601563,-40.58837891,-33.87451172,-37.23144531
23.89999962,-43.33496094,-43.33496094,-42.11425781,-32.95898438,-40.89355469
24,-42.11425781,-43.9453125,-41.19873047,-32.65380859,-37.84179688
24.10000038,-42.11425781,-43.02978516,-42.72460938,-26.55029297,-38.75732422
24.20000076,-41.19873047,-43.02978516,-40.89355469,-10.98632813,-38.45214844
24.29999924,-42.11425781,-43.02978516,-40.58837891,12.51220703,-37.84179688
24.39999962,-42.11425781,-43.33496094,-39.0625,25.32958984,-38.14697266
24.5,-41.80908203,-43.9453125,-41.80908203,19.83642578,-37.84179688
24.60000038,-42.72460938,-43.33496094,-42.11425781,5.187988281,-38.75732422
24.70000076,-42.41943359,-43.64013672,-40.28320313,-13.12255859,-39.0625
24.79999924,-42.41943359,-43.64013672,-41.19873047,-25.63476563,-37.84179688
24.89999962,-42.41943359,-42.72460938,-40.58837891,-35.40039063,-37.84179688
25,-42.41943359,-41.80908203,-41.80908203,-41.80908203,-37.53662109
25.10000038,-42.72460938,-43.02978516,-39.36767578,-43.9453125,-36.62109375
25.20000076,-42.41943359,-44.86083984,-40.58837891,-49.13330078,-37.23144531
25.29999924,-42.41943359,-43.33496094,-42.11425781,-47.60742188,-38.14697266
25.39999962,-40.58837891,-43.33496094,-40.28320313,-49.13330078,-37.84179688
25.5,-41.80908203,-42.72460938,-40.28320313,-49.43847656,-37.53662109
25.60000038,-40.89355469,-43.33496094,-39.67285156,-48.52294922,-37.53662109
25.70000076,-40.89355469,-43.02978516,-41.50390625,-49.13330078,-37.23144531
25.79999924,-41.80908203,-43.02978516,-40.28320313,-49.43847656,-37.53662109
25.89999962,-41.80908203,-43.9453125,-40.28320313,-50.65917969,-37.53662109
26,-42.41943359,-42.72460938,-41.80908203,-49.74365234,-38.14697266
26.10000038,-40.58837891,-43.9453125,-39.36767578,-49.43847656,-36.31591797
26.20000076,-41.50390625,-41.80908203,-40.89355469,-49.43847656,-37.84179688
26.29999924,-39.97802734,-43.02978516,-40.28320313,-49.13330078,-35.70556641
26.39999962,-41.50390625,-43.33496094,-40.58837891,-47.91259766,-37.53662109
26.5,-43.33496094,-42.72460938,-40.28320313,-49.13330078,-35.70556641
26.60000038,-39.67285156,-43.02978516,-41.19873047,-48.828125,-37.23144531
26.70000076,-41.50390625,-42.41943359,-40.58837891,-48.828125,-36.92626953
26.79999924,-40.28320313,-43.33496094,-40.28320313,-49.13330078,-36.62109375
26.89999962,-41.80908203,-41.80908203,-41.50390625,-48.828125,-35.40039063
27,-41.19873047,-42.11425781,-39.67285156,-47.30224609,-36.01074219
27.10000038,-40.89355469,-42.72460938,-41.19873047,-48.21777344,-34.48486328
27.20000076,-41.50390625,-42.11425781,-41.19873047,-47.91259766,-36.01074219
27.29999924,-41.19873047,-43.9453125,-39.67285156,-50.04882813,-33.56933594
27.39999962,-41.19873047,-42.41943359,-41.19873047,-48.52294922,-35.09521484
27.5,-40.28320313,-43.33496094,-39.36767578,-49.13330078,-34.79003906
27.60000038,-40.28320313,-42.41943359,-40.89355469,-47.30224609,-32.95898438
27.70000076,-40.58837891,-43.33496094,-39.67285156,-48.52294922,-26.24511719
27.79999924,-39.97802734,-42.11425781,-40.58837891,-46.69189453,-12.81738281
27.89999962,-40.58837891,-42.41943359,-40.58837891,-47.91259766,12.20703125
28,-40.58837891,-43.9453125,-39.36767578,-47.91259766,25.93994141
28.10000038,-40.58837891,-41.80908203,-40.89355469,-47.60742188,20.14160156
28.20000076,-39.0625,-43.64013672,-39.0625,-47.60742188,4.577636719
28.29999924,-39.97802734,-42.11425781,-40.89355469,-47.30224609,-12.51220703
28.39999962,-39.67285156,-42.41943359,-39.0625,-47.91259766,-26.55029297
28.5,-39.0625,-43.33496094,-40.28320313,-46.99707031,-36.31591797
28.60000038,-41.19873047,-43.02978516,-40.28320313,-47.91259766,-43.02978516
28.70000076,-39.67285156,-43.64013672,-39.67285156,-49.43847656,-45.77636719
28.79999924,-39.36767578,-42.72460938,-40.28320313,-47.60742188,-47.91259766
28.89999962,-39.0625,-43.02978516,-39.67285156,-47.60742188,-47.91259766
29,-39.97802734,-43.02978516,-39.36767578,-46.69189453,-48.828125
29.10000038,-38.75732422,-43.02978516,-39.97802734,-47.30224609,-49.13330078
29.20000076,-38.75732422,-43.64013672,-39.67285156,-46.99707031,-49.43847656
29.29999924,-40.58837891,-41.50390625,-39.97802734,-46.99707031,-51.26953125
29.39999962,-38.45214844,-43.64013672,-38.75732422,-48.21777344,-49.43847656
29.5,-39.97802734,-41.19873047,-39.36767578,-47.60742188,-49.43847656
29.60000038,-37.84179688,-43.9453125,-39.36767578,-48.828125,-48.52294922
29.70000076,-38.75732422,-41.80908203,-39.0625,-47.30224609,-49.74365234
29.79999924,-39.0625,-43.64013672,-38.45214844,-47.60742188,-49.43847656
29.89999962,-37.84179688,-42.72460938,-39.67285156,-47.91259766,-48.828125
30,-40.58837891,-42.72460938,-39.36767578,-46.69189453,-49.74365234
30.10000038,-38.14697266,-43.02978516,-38.14697266,-48.21777344,-48.52294922
30.20000076,-40.28320313,-43.33496094,-38.75732422,-46.99707031,-50.04882813
30.29999924,-38.14697266,-42.41943359,-39.0625,-46.38671875,-48.828125
30.39999962,-38.45214844,-42.72460938,-39.67285156,-47.30224609,-47.91259766
30.5,-37.84179688,-42.72460938,-38.45214844,-47.30224609,-47.91259766
30.60000038,-38.14697266,-44.25048828,-38.75732422,-48.52294922,-48.828125
30.70000076,-39.36767578,-42.41943359,-40.58837891,-47.60742188,-49.43847656
30.79999924,-37.23144531,-42.72460938,-38.75732422,-46.99707031,-47.91259766
30.89999962,-39.36767578,-42.41943359,-38.75732422,-46.38671875,-48.828125
31,-37.84179688,-42.72460938,-37.23144531,-47.30224609,-48.52294922
31.10000038,-38.75732422,-42.11425781,-38.14697266,-46.08154297,-47.60742188
31.20000076,-37.53662109,-42.11425781,-36.62109375,-46.99707031,-46.99707031
31.29999924,-38.75732422,-43.02978516,-36.31591797,-47.91259766,-47.60742188
31.39999962,-38.14697266,-42.41943359,-38.14697266,-46.08154297,-49.43847656
31.5,-37.84179688,-43.64013672,-36.92626953,-46.69189453,-47.60742188
31.60000038,-37.53662109,-43.02978516,-37.84179688,-46.99707031,-47.91259766
31.70000076,-36.92626953,-42.41943359,-38.14697266,-47.60742188,-48.21777344
31.79999924,-37.84179688,-43.02978516,-37.84179688,-46.08154297,-47.91259766
31.89999962,-36.31591797,-42.41943359,-36.92626953,-46.08154297,-46.69189453
32,-36.92626953,-43.02978516,-36.92626953,-48.21777344,-48.21777344
32.09999847,-37.23144531,-41.80908203,-37.23144531,-46.38671875,-47.91259766
32.20000076,-36.31591797,-42.11425781,-36.01074219,-46.38671875,-46.99707031
32.29999924,-36.62109375,-41.19873047,-37.23144531,-46.08154297,-48.21777344
32.40000153,-36.31591797,-42.11425781,-36.62109375,-47.91259766,-47.30224609
32.5,-35.40039063,-41.80908203,-35.40039063,-45.77636719,-47.60742188
32.59999847,-35.40039063,-41.50390625,-35.40039063,-46.08154297,-46.38671875
32.70000076,-35.09521484,-43.02978516,-36.62109375,-47.60742188,-47.30224609
32.79999924,-36.31591797,-41.80908203,-37.53662109,-46.38671875,-48.21777344
32.90000153,-34.1796875,-42.41943359,-35.09521484,-46.08154297,-46.69189453
33,-33.56933594,-41.80908203,-35.70556641,-45.47119141,-47.60742188
33.09999847,-28.07617188,-41.50390625,-35.09521484,-46.99707031,-46.69189453
33.20000076,-14.34326172,-41.50390625,-35.40039063,-45.16601563,-46.08154297
33.29999924,7.019042969,-41.80908203,-35.09521484,-45.77636719,-47.91259766
33.40000153,24.71923828,-43.33496094,-34.1796875,-47.30224609,-45.47119141
33.5,22.27783203,-41.19873047,-35.40039063,-46.08154297,-47.60742188
33.59999847,9.155273438,-42.11425781,-34.1796875,-46.99707031,-46.99707031
33.70000076,-7.32421875,-41.19873047,-33.26416016,-45.47119141,-47.60742188
33.79999924,-22.27783203,-41.50390625,-32.34863281,-45.16601563,-46.69189453
33.90000153,-32.34863281,-41.80908203,-28.99169922,-45.77636719,-46.69189453
34,-41.50390625,-40.58837891,-15.56396484,-45.16601563,-46.99707031
34.09999847,-44.55566406,-40.89355469,9.460449219,-46.38671875,-46.38671875
34.20000076,-47.60742188,-40.89355469,23.49853516,-46.08154297,-47.30224609
34.29999924,-49.13330078,-42.41943359,21.97265625,-45.47119141,-46.08154297
34.40000153,-48.21777344,-40.28320313,6.408691406,-46.69189453,-46.38671875
34.5,-49.13330078,-40.89355469,-11.59667969,-45.16601563,-46.08154297
